balanced_accuracy,pr_auc,brier_score,expected_cost,threshold,tn,fp,fn,tp
0.55,0.6783667919387756,0.1527592240609383,1.35,0.74,140,0,54,6
0.5416666666666666,0.6783667919387756,0.1527592240609383,1.375,0.75,140,0,55,5
0.5333333333333333,0.6783667919387756,0.1527592240609383,1.4,0.76,140,0,56,4
0.525,0.6783667919387756,0.1527592240609383,1.425,0.77,140,0,57,3
0.5166666666666667,0.6783667919387756,0.1527592240609383,1.45,0.78,140,0,58,2
0.5166666666666667,0.6783667919387756,0.1527592240609383,1.45,0.79,140,0,58,2
0.5083333333333333,0.6783667919387756,0.1527592240609383,1.475,0.8,140,0,59,1
0.5083333333333333,0.6783667919387756,0.1527592240609383,1.475,0.81,140,0,59,1
0.5,0.6783667919387756,0.1527592240609383,1.5,0.82,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.83,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.84,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.85,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.86,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.87,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.88,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.89,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.9,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.91,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.92,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.93,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.94,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.95,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.96,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.97,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.98,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,0.99,140,0,60,0
0.5,0.6783667919387756,0.1527592240609383,1.5,1.0,140,0,60,0
